DataHora,Prob>1.5x,Prob>2x,Prob>5x,Prob>10x,Prob Ponderada,Media_20,Sequencia_Baixa,Ultimos10,Modo,Calls
2025-09-15 14:38:44,60.14,43.48,18.12,8.7,36.67,5.44,0,"[2.25, 11.5, 1.27, 4.74, 1.83, 1.0, 1.16, 1.06, 1.15, 4.14]","{'<2x': 6, '2–5x': 3, '5–10x': 0, '10–20x': 1, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 15:00:15,60.28,43.97,18.44,8.51,54.33,4.85,0,"[4.74, 1.83, 1.0, 1.16, 1.06, 1.15, 4.14, 4.27, 1.18, 5.56]","{'<2x': 6, '2–5x': 3, '5–10x': 1, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 15:00:29,60.42,44.44,18.75,9.03,57.33,3.87,1,"[1.16, 1.06, 1.15, 4.14, 4.27, 1.18, 5.56, 4.65, 25.03, 1.0]","{'<2x': 5, '2–5x': 3, '5–10x': 1, '10–20x': 0, '20+': 1}",Neutro,"[('🚫 Spike >20x detectado — tendência de fase baixa', '85%')]"
2025-09-15 15:00:52,61.22,45.58,19.73,10.2,85.0,8.13,0,"[4.14, 4.27, 1.18, 5.56, 4.65, 25.03, 1.0, 2.44, 71.33, 16.0]","{'<2x': 2, '2–5x': 4, '5–10x': 1, '10–20x': 1, '20+': 2}",Agressivo,"[('🔥 Entrada agressiva até 10x', '10.204081632653061%'), ('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 15:01:29,61.33,46.0,20.0,10.0,68.33,7.91,0,"[5.56, 4.65, 25.03, 1.0, 2.44, 71.33, 16.0, 1.0, 6.59, 2.82]","{'<2x': 2, '2–5x': 3, '5–10x': 2, '10–20x': 1, '20+': 2}",Agressivo,"[('🔥 Entrada agressiva até 10x', '10.0%'), ('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 15:01:54,60.78,45.75,19.61,9.8,45.67,7.79,1,"[1.0, 2.44, 71.33, 16.0, 1.0, 6.59, 2.82, 1.19, 3.09, 1.14]","{'<2x': 4, '2–5x': 3, '5–10x': 1, '10–20x': 1, '20+': 1}",Neutro,"[('🚫 Spike >40x detectado — evitar entradas longas agora', '90%')]"
2025-09-15 15:02:36,60.26,44.87,19.23,9.62,23.0,7.85,4,"[16.0, 1.0, 6.59, 2.82, 1.19, 3.09, 1.14, 1.85, 1.07, 1.43]","{'<2x': 6, '2–5x': 2, '5–10x': 1, '10–20x': 1, '20+': 0}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%')]"
2025-09-15 15:03:01,60.38,45.28,20.13,9.43,56.33,8.14,0,"[2.82, 1.19, 3.09, 1.14, 1.85, 1.07, 1.43, 1.29, 7.9, 6.33]","{'<2x': 6, '2–5x': 2, '5–10x': 2, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 15:58:04,100.0,100.0,66.67,0.0,100.0,6.28,0,"[4.05, 8.33, 6.46]","{'<2x': 0, '2–5x': 1, '5–10x': 2, '10–20x': 0, '20+': 0}",Moderado,"[('✅ Entrada segura até 2x', '100.0%'), ('⚠️ Entrada moderada até 5x', '66.66666666666666%')]"
2025-09-15 16:06:39,83.33,83.33,33.33,0.0,75.0,4.42,0,"[4.05, 8.33, 6.46, 2.48, 1.46, 3.71]","{'<2x': 1, '2–5x': 3, '5–10x': 2, '10–20x': 0, '20+': 0}",Moderado,"[('✅ Entrada segura até 2x', '83.33333333333334%'), ('⚠️ Entrada moderada até 5x', '33.33333333333333%')]"
2025-09-15 16:08:17,33.33,0.0,0.0,0.0,0.0,1.4,3,"[1.5, 1.25, 1.45]","{'<2x': 3, '2–5x': 0, '5–10x': 0, '10–20x': 0, '20+': 0}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%')]"
2025-09-15 16:17:20,66.67,33.33,0.0,0.0,50.0,1.8,0,"[1.5, 1.25, 1.45, 2.54, 1.5, 2.56]","{'<2x': 4, '2–5x': 2, '5–10x': 0, '10–20x': 0, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 16:18:09,44.44,22.22,0.0,0.0,11.11,1.6,3,"[1.5, 1.25, 1.45, 2.54, 1.5, 2.56, 1.07, 1.35, 1.2]","{'<2x': 7, '2–5x': 2, '5–10x': 0, '10–20x': 0, '20+': 0}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%')]"
2025-09-15 16:18:30,50.0,16.67,0.0,0.0,9.33,1.59,6,"[1.45, 2.54, 1.5, 2.56, 1.07, 1.35, 1.2, 1.28, 1.57, 1.86]","{'<2x': 8, '2–5x': 2, '5–10x': 0, '10–20x': 0, '20+': 0}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%')]"
2025-09-15 16:19:25,53.33,20.0,6.67,6.67,26.67,2.2,2,"[2.56, 1.07, 1.35, 1.2, 1.28, 1.57, 1.86, 10.55, 1.3, 1.98]","{'<2x': 8, '2–5x': 1, '5–10x': 0, '10–20x': 1, '20+': 0}",Neutro,"[('❌ Melhor esperar — cenário neutro', '100%')]"
2025-09-15 23:21:14,50.0,16.67,5.56,5.56,6.33,2.08,5,"[1.2, 1.28, 1.57, 1.86, 10.55, 1.3, 1.98, 1.17, 1.39, 1.97]","{'<2x': 9, '2–5x': 0, '5–10x': 0, '10–20x': 1, '20+': 0}",Conservador,"[('⚡ Sequência baixa detectada — boa chance até 2x', '75%')]"
